number,text,label
train-1168,"A Czech stockbroker who saved more than 650 Jewish children from Nazi Germany has died at the age of 106. Dubbed Britain's Schindler, Nicholas Winton arranged to transport Jewish youngsters from Prague after Germany annexed Czechoslovakia in March 1939. Though the children were originally set to arrive in Britain by plane, the German invasion forced Winton to transport them by train through Germany before they eventually reached England by boat. Winton arranged eight trains, known as the Kindertransports (children's transports), to evacuate the children, and died on the anniversary of the 1939 departure of the one carrying the largest number of children: 241. Winton was knighted by Queen Elizabeth II in 2003 for his efforts, despite keeping it secret for nearly 50 years.",0
train-1169,The international scientific community accepts that increases in greenhouse gases due to human activity have been the dominant cause of observed global warming since the mid-20th century. Continued emissions of greenhouse gases will cause further warming and changes in all components of the climate system.,0
train-1170,"In eastern Australia, there is high confidence that in the near future (2030) natural variability will predominate over trends caused by greenhouse gas emissions. This means that while the trend is skewing the natural variability towards winter decreases, it will be relatively minor compared to the natural seasonal and annual changes, so continuing to manage for large natural variability will still be appropriate. For late in the century (2090), there is medium confidence in a winter rainfall decrease.",0
train-1171,There is high confidence in decreasing soil moisture from mid-century in the southern regions (particularly in winter and spring) driven by the projected decrease in rainfall and higher evaporative demand. There is medium confidence in decreasing soil moisture elsewhere in Australia where evaporative demand is projected to increase but the direction of rainfall change in uncertain.,0
train-1172,The international scientific community accepts that increases in greenhouse gases due to human activity have been the dominant cause of observed global warming since the mid-20th century. Continued emissions of greenhouse gases will cause further warming and changes in all components of the climate system.,0
train-1173,"Earth’s climate has changed over the past century. The atmosphere and oceans have warmed, sea levels have risen, and glaciers and ice sheets have decreased in size. The best available evidence indicates that greenhouse gas emissions from human activities are the main cause. Continuing increases in greenhouse gases will produce further warming and other changes in Earth’s physical environment and ecosystems.",0
train-1174,"Global climate has varied greatly throughout Earth’s history. In the final decades of the 20th century, the world experienced a rate of warming that is unprecedented for thousands of years, as far as we can tell from the available evidence. Global average temperature rise has been accompanied by ongoing rises in ocean temperatures, ocean heat storage, sea levels and atmospheric water vapour. There has also been shrinkage in the size of ice sheets and most glaciers. The recent slowdown in the rate of surface warming is mainly due to climate variability that has redistributed heat in the ocean, causing warming at depth and cooling of surface waters. Australia’s climate has warmed along with the global average warming.",0
train-1175,"If greenhouse gas emissions continue to grow rapidly, it is expected that, by 2100, the global average air temperature over the Earth’s surface will warm by around 4°C above mid-19th century temperatures. There are many likely ramifications of this warming. However, if emissions are reduced sufficiently rapidly, there is a chance that global average warming will not exceed 2°C and other impacts will be limited.",0
train-1176,"Sea levels have risen during the 20th century. The two major contributing factors are the expansion of sea water as it warms, and the loss of ice from glaciers. Sea levels are very likely to rise more quickly during the 21st century than the 20th century, and will continue to rise for many centuries.",0
train-1177,"Climate change has impacts on ecosystems, coastal systems, fire regimes, food and water security, health, infrastructure and human security. Impacts on ecosystems and societies are already occurring around the world, including in Australia. The impacts will vary from one region to another and, in the short term, can be both positive and negative. In the future, the impacts of climate change will intensify and interact with other stresses. If greenhouse gas emissions continue to be high, it is likely that the human-induced component of climate change will exceed the capacity of some countries to adapt.",0
train-1178,"Societies, including Australia, face choices about how to respond to the consequences of future climate change. Available strategies include reducing emissions, capturing CO2, adaptation and ‘geoengineering’. These strategies, which can be combined to some extent, carry different levels of environmental risk and different societal consequences. The role of climate science is to inform decisions by providing the best possible knowledge of climate outcomes and the consequences of alternative courses of action.",0
train-1179,"There is near-unanimous agreement among climate scientists that human-caused global warming is real. However, future climate change and its effects are hard to predict accurately or in detail, especially at regional and local levels. Many factors prevent more accurate predictions, and some uncertainty is likely to remain for considerable time. Uncertainty in climate science is no greater than in other areas where policy decisions are routinely taken to minimise risk. Also, the uncertainty means that the magnitude of future climate change could be either greater or less than present-day best estimates.",0
train-1180,"Human activities are increasing greenhouse gas concentrations in the atmosphere. This increase is extremely likely to have caused most of the recent observed global warming, with CO2 being the largest contributor. Some observed changes in Australia’s climate, including warming throughout the continent and drying trends in the southwest, have been linked to rising greenhouse gas concentrations.",0
train-1181,"Today, human activities are directly increasing atmospheric concentrations of CO2, methane and nitrous oxide, plus some chemically manufactured greenhouse gases such as halocarbons (Question 3). These humangenerated gases enhance the natural greenhouse effect and further warm the surface. In addition to the direct effect, the warming that results from increased concentrations of long-lived greenhouse gases can be amplified by other processes. A key example is water vapour amplification (Box 1.3). Human activities are also increasing aerosols in the atmosphere, which reflect some incoming sunlight. This human-induced change offsets some of the warming from greenhouse gases.",0
train-1182,"Over the past million years, Earth’s globally averaged surface temperature has risen and fallen by about 5˚C in ice-age cycles, roughly every 100,000 years or so (Figure 2.1a). In the coldest period of the last ice age, about 20,000 years ago, sea level was at least 120 metres lower than today because more water was locked up on land in polar ice sheets. The last 8,000 years, which includes most recorded human history, have been relatively stable at the warmer end of this temperature range. This stability enabled agriculture, permanent settlements and population growth.",0
train-1183,"Climate and sea level were relatively stable over thousands of years of recorded human history up to the 19th century, although with some variations (Figure 2.1b). However, globally averaged near-surface air temperature rose by around 0.8°C between 1850 and 2012 (Figure 2.1c). The rate of warming increased in the mid-1970s, and each of the most recent three decades has been warmer than all preceding decades since 1850. The last decade has been the warmest of these. Satellite observations and direct measurements also show warming in the lower atmosphere over the past three decades. In contrast, the atmosphere above about 15 km elevation (the stratosphere) has cooled over this time.",0
train-1184,Explosion rocks down town Damascus. An explosion inside a bus killed six people and injured another ten in down town Damascus according to preliminary reports on Sunday. Syrias government run TV said the explosion took place in Al Kalassa region of the Syrian capital and that 19 people were injured and an unspecified number of others killed.,0
